Word                     	Lemmatized               	           Frequency
assessed                 	assess                   	                  10
assessing                	assess                   	                   1
assessment               	assessment               	                   7
assessments              	assessment               	                   2
assets                   	asset                    	                   1
assignment               	assignment               	                   1
assisted                 	assist                   	                   1
associated               	associate                	                  28
association              	association              	                  11
associations             	association              	                   5
astrocyte                	astrocyte                	                   4
astrocytes               	astrocyte                	                   9
atalysts                 	atalysts                 	                   3
aterials                 	aterials                 	                   1
atm                      	atm                      	                   1
atomization              	atomization              	                  14
atomized                 	atomize                  	                   1
attempts                 	attempt                  	                   1
attending                	attend                   	                   2
attention                	attention                	                   9
attenuated               	attenuate                	                   2
attitudes                	attitude                 	                   1
attracted                	attract                  	                   3
attractive               	attractive               	                   2
attractor                	attractor                	                   1
attractors               	attractor                	                   1
attributable             	attributable             	                   1
attributed               	attribute                	                   3
atypical                 	atypical                 	                   1
auNP                     	auNP                     	                   3
auNPs                    	auNPs                    	                   1
audit                    	audit                    	                   2
augment                  	augment                  	                   1
augmentation             	augmentation             	                   1
august                   	august                   	                   1
australia                	australia                	                   5
author                   	author                   	                   1
authors                  	author                   	                   3
auto                     	auto                     	                   2
autocleavage             	autocleavage             	                   3
autologous               	autologous               	                   2
autonomy                 	autonomy                 	                   1
auxiliary                	auxiliary                	                   1
availability             	availability             	                   4
available                	available                	                   9
avenues                  	avenue                   	                   1
average                  	average                  	                   5
averaging                	average                  	                   2
avoid                    	avoid                    	                   2
avoided                  	avoid                    	                   1
avoiding                 	avoid                    	                   1
awareness                	awareness                	                   3
away                     	away                     	                   1
ayer                     	ayer                     	                   1
aza                      	aza                      	                   1
azetidinones             	azetidinones             	                   1
azine                    	azine                    	                   1
azithromycin             	azithromycin             	                   1
b3LYP                    	b3LYP                    	                   1
b7                       	b7                       	                   1
bALB                     	bALB                     	                   1
bM                       	bM                       	                   2
bMSC                     	bMSC                     	                   4
bTO                      	bTO                      	                  10
ba                       	ba                       	                   1
baby                     	baby                     	                   1
background               	background               	                  11
bacteria                 	bacteria                 	                   8
bacterial                	bacterial                	                  11
baite                    	baite                    	                   1
balance                  	balance                  	                   2
band                     	band                     	                   4
bandgap                  	bandgap                  	                   2
bare                     	bare                     	                   1
bars                     	bar                      	                   1
base                     	base                     	                   1
based                    	base                     	                  65
baseline                 	baseline                 	                   5
basic                    	basic                    	                   1
basis                    	basis                    	                   3
basketball               	basketball               	                   4
batch                    	batch                    	                   8
batches                  	batch                    	                   3
bayesian                 	bayesian                 	                   2
bdc                      	bdc                      	                   2
bearing                  	bearing                  	                   5
bearings                 	bearing                  	                   2
became                   	become                   	                   4
become                   	become                   	                   1
becoming                 	become                   	                   1
bed                      	bed                      	                   1
beds                     	bed                      	                   1
begin                    	begin                    	                   1
begins                   	begin                    	                   1
behaved                  	behave                   	                   1
behavior                 	behavior                 	                   3
behind                   	behind                   	                   1
beirut                   	beirut                   	                   1
benchtop                 	benchtop                 	                   1
bene                     	bene                     	                   1
beneficial               	beneficial               	                   3
benefit                  	benefit                  	                   7
benefits                 	benefit                  	                   2
benignity                	benignity                	                   1
benzenedicarboxylate     	benzenedicarboxylate     	                   1
benzenetricarboxylate    	benzenetricarboxylate    	                   1
besides                  	besides                  	                   4
best                     	best                     	                   2
beta                     	beta                     	                   5
better                   	well                     	                   2
bias                     	bias                     	                   1
bibliometric             	bibliometric             	                   2
big                      	big                      	                   1
bilayer                  	bilayer                  	                   3
